iter	Passed	Remaining
0	205	11534
1	389	10709
2	561	10107
3	744	9865
4	915	9516
5	1085	9222
6	1253	8951
7	1451	8888
8	1634	8718
9	1804	8481
10	1989	8319
11	2171	8143
12	2356	7976
13	2538	7796
14	2710	7590
15	2890	7408
16	3074	7233
17	3256	7055
18	3440	6881
19	3631	6717
20	3805	6524
21	3976	6325
22	4166	6159
23	4367	6005
24	4549	5823
25	4734	5644
26	4906	5451
27	5093	5275
28	5262	5080
29	5437	4893
30	5610	4705
31	5794	4526
32	5977	4347
33	6149	4159
34	6329	3978
35	6547	3819
36	6728	3636
37	6905	3452
38	7079	3267
39	7270	3089
40	7457	2910
41	7639	2728
42	7828	2548
43	8018	2369
44	8191	2184
45	8380	2003
46	8572	1823
47	8762	1643
48	8948	1460
49	9122	1277
50	9295	1093
51	9468	910
52	9640	727
53	9828	546
54	10007	363
55	10195	182
56	10383	0
